name	lexicographer file	text file	rdf	pos	domain	description
antonymOf	!	ant	antonymOf	n,v,a,r	word	Antonym
memberHolonymOf	#m	hm	memberHolonymOf	n	synset	Member holonym
partHolonymOf	#p	hp	partHolonymOf	n	synset	Part holonym
substanceHolonymOf	#s	hs	substanceHolonymOf	n	synset	Substance holonym
sameVerbGroupAs	$	vg	sameVerbGroupAs	v	synset,word	Verb Group
memberMeronymOf	%m	mm	memberMeronymOf	n	synset	Member meronym
partMeronymOf	%p	mp	partMeronymOf	n	synset	Part meronym
substanceMeronymOf	%s	ms	substanceMeronymOf	n	synset	Substance meronym
similarTo	&	sim	similarTo	a,s	synset	Similar to
entails	*	entail	entails	v	synset	entailment
derivationallyRelated	+	drf	derivationallyRelated	n,v,a,s,r	synset,word	Derivationally related form
classifiedByTopic	-c	mt	classifiedByTopic	n,v,a,r,s	synset,word	Member of this domain - TOPIC
classifiedByRegion	-r	mr	classifiedByRegion	n,v,a,r,s	synset,word	Member of this domain - REGION
classifiedByUsage	-u	mu	classifiedByUsage	n,v,a,r,s	synset,word	Member of this domain - USAGE
classifiesByTopic	;c	dt	classifiesByTopic	n	synset,word	Domain of synset - TOPIC
classifiesByRegion	;r	dr	classifiesByRegion	n	synset,word	Domain of synset - REGION
classifiesByUsage	;u	du	classifiesByUsage	n	synset,word	Domain of synset - USAGE
participleOf	<	pv	participleOf	a	word	Participle of verb
attribute	=	attr	attribute	n,a	synset	Attribute
causes	>	cause	causes	v	synset	Cause
hypernymOf	@	hyper	hypernymOf	n,v	synset	Hypernym
instanceOf	@i	ihyper	instanceOf	n	synset	Instance Hypernym (9/11 is a terrorist attack)
pertainsTo	\	pe	pertainsTo	a,r	word	Pertainym pertains to noun/adjective
seeAlso	^	see	seeAlso	v,a	synset,word	Also see
hyponymOf	~	hypo	hyponymOf	n,v	synset	Hyponym
hasInstance	~i	ihypo	hasInstance	n	synset	Instance Hyponym (terrorist attack has instance 9/11)
lexicographerFile	_	_	lexicographerFile	n,v,a,r,s	synset	lexicographer file relation
definition	_	d	definition	n,v,a,r,s	synset	definition relation
example	_	e	example	n,v,a,r,s	synset	example relation
containsWordSense	_	w	containsWordSense	n,v,a,r	synset	contains word sense relation
frame	_	fs	frame	v	synset,word	frame relation
lexicalForm	_	_	lexicalForm	n,v,a,r,s	synset	lexicographer file relation
syntacticMarker	_	marker	syntacticMarker	a	word	   marker
